wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
3.02544,0.07004,0.07202,0.07238,0.06983,0.07053,0.07128,0.06902,0.07082,0.07231
3.03206,0.07114,0.07305,0.07330,0.07034,0.07167,0.07255,0.07022,0.07189,0.07359
3.03869,0.07190,0.07376,0.07397,0.07142,0.07284,0.07343,0.07114,0.07271,0.07453
3.04532,0.07234,0.07429,0.07451,0.07195,0.07354,0.07412,0.07162,0.07308,0.07510
3.05195,0.07259,0.07443,0.07506,0.07203,0.07379,0.07449,0.07179,0.07306,0.07521
3.05857,0.07256,0.07447,0.07544,0.07195,0.07384,0.07466,0.07190,0.07301,0.07521
3.06520,0.07302,0.07497,0.07559,0.07252,0.07453,0.07511,0.07240,0.07364,0.07580
3.07183,0.07406,0.07581,0.07616,0.07351,0.07539,0.07591,0.07337,0.07479,0.07705
3.07846,0.07496,0.07687,0.07719,0.07452,0.07655,0.07691,0.07428,0.07581,0.07831
3.08509,0.07554,0.07770,0.07833,0.07540,0.07728,0.07771,0.07506,0.07661,0.07936
3.09172,0.07638,0.07878,0.07942,0.07632,0.07783,0.07847,0.07594,0.07731,0.07996
3.09835,0.07742,0.07999,0.08051,0.07758,0.07868,0.07940,0.07722,0.07851,0.08067
3.10498,0.07821,0.08076,0.08126,0.07873,0.07970,0.08037,0.07829,0.07954,0.08149
3.11161,0.07874,0.08118,0.08183,0.07951,0.08056,0.08109,0.07903,0.08026,0.08242
3.11825,0.07976,0.08185,0.08275,0.08030,0.08135,0.08217,0.07998,0.08071,0.08341
3.12488,0.08081,0.08273,0.08383,0.08139,0.08247,0.08343,0.08076,0.08128,0.08416
3.13151,0.08159,0.08363,0.08466,0.08209,0.08328,0.08426,0.08151,0.08200,0.08485
3.13814,0.08240,0.08444,0.08550,0.08335,0.08431,0.08521,0.08254,0.08333,0.08610
3.14478,0.08380,0.08557,0.08669,0.08502,0.08588,0.08674,0.08409,0.08488,0.08739
3.15141,0.08609,0.08784,0.08924,0.08749,0.08830,0.08909,0.08646,0.08734,0.08993
3.15804,0.08922,0.09099,0.09276,0.09046,0.09163,0.09240,0.08976,0.09052,0.09348
3.16468,0.09248,0.09439,0.09611,0.09351,0.09495,0.09558,0.09300,0.09410,0.09709
